Unnamed: 0,month,year,naics_Code,kind_of_business,industry,sales,category,total_records
0,January,2022,Motor Vehicle & Parts Dealers,Motor vehicle and parts dealers,Automotive,113548.0,Automotive,936
1,January,2022,Motor Vehicle & Parts Dealers (Combined),Automobile and other motor vehicle dealers,Automotive,104500.0,Automotive,936
2,January,2022,Automobile Dealers,Automobile dealers,Automotive,96689.0,Automotive,936
3,January,2022,New Car Dealers,New car dealers,Automotive,84442.0,Automotive,936
4,January,2022,Used Car Dealers,Used car dealers,Automotive,12247.0,Automotive,936
5,January,2022,"Auto Parts, Accessories & Tire Stores","Automotive parts, acc., and tire stores",Automotive,9047.0,Automotive,936
6,January,2022,Furniture & Electronics Stores (Combined),"Furniture, home furn, electronics, and appliance stores",Home Goods & Electronics,17141.0,Retail,1560
7,January,2022,Furniture & Home Furnishings Stores,Furniture and home furnishings stores,Home Goods & Electronics,10423.0,Retail,1560
8,January,2022,Furniture Stores,Furniture stores,Home Goods & Electronics,5549.0,Retail,1560
9,January,2022,Home Furnishings Stores,Home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
10,January,2022,Floor Covering Stores,Floor covering stores,Home Goods & Electronics,21850.77,Retail,1560
11,January,2022,All Other Home Furnishings Stores,All other home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
12,January,2022,Electronics & Appliance Stores,Electronics and appliance stores,Home Goods & Electronics,6718.0,Retail,1560
13,January,2022,Household Appliance Stores,Household appliance stores,Home Goods & Electronics,1547.0,Retail,1560
14,January,2022,Electronics Stores,Electronics stores,Home Goods & Electronics,5171.0,Retail,1560
15,January,2022,Building Material & Garden Supply Stores,Building mat. and garden equip. and supplies dealers,Home Goods & Building Supplies,33771.0,Retail,624
16,January,2022,Building Material & Supplies Dealers,Building mat. and supplies dealers,Home Goods & Building Supplies,29770.0,Retail,624
17,January,2022,Paint & Wallpaper Stores,Paint and wallpaper stores,Home Goods & Building Supplies,1051.0,Retail,624
18,January,2022,Hardware Stores,Hardware stores,Home Goods & Building Supplies,2728.0,Retail,624
19,January,2022,Food & Beverage Stores,Food and beverage stores,Food & Beverage,74984.0,Food,780
20,January,2022,Grocery Stores,Grocery stores,Food & Beverage,68099.0,Food,780
21,January,2022,Supermarkets & Grocery Stores,Supermarkets and other grocery (except convenience) stores,Food & Beverage,65318.0,Food,780
22,January,2022,"Beer, Wine & Liquor Stores","Beer, wine, and liquor stores",Food & Beverage,4939.0,Food,780
23,January,2022,Health & Personal Care Stores,Health and personal care stores,Health & Personal Care,32224.0,Retail,312
24,January,2022,Pharmacies & Drug Stores,Pharmacies and drug stores,Health & Personal Care,27297.0,Retail,312
25,January,2022,Gasoline Stations,Gasoline stations,Fuel & Gasoline,49098.0,Retail,312
26,January,2022,Clothing & Clothing Accessories Stores,Clothing and clothing access. stores,Fashion & Accessories,18113.0,Retail,1248
27,January,2022,Clothing Stores,Clothing stores,Fashion & Accessories,12368.0,Retail,1248
28,January,2022,Men's Clothing Stores,Men's clothing stores,Fashion & Accessories,21850.77,Retail,1248
29,January,2022,Women's Clothing Stores,Women's clothing stores,Fashion & Accessories,2422.0,Retail,1248
30,January,2022,Family Clothing Stores,Family clothing stores,Fashion & Accessories,6734.0,Retail,1248
31,January,2022,Other Clothing Stores,Other clothing stores,Fashion & Accessories,1277.0,Retail,1248
32,January,2022,Shoe Stores,Shoe stores,Fashion & Accessories,2218.0,Retail,1248
33,January,2022,Jewelry Stores,Jewelry stores,Fashion & Accessories,21850.77,Retail,1248
34,January,2022,"Sporting Goods, Hobby, Book & Music Stores","Sporting goods, hobby, musical instrument, and book stores",Sports & Recreation,7270.0,Retail,624
35,January,2022,Sporting Goods Stores,Sporting goods stores,Sports & Recreation,4071.0,Retail,624
36,January,2022,"Hobby, Toy & Game Stores","Hobby, toy, and game stores",Sports & Recreation,1626.0,Retail,624
37,January,2022,Book Stores,Book stores,Sports & Recreation,860.0,Retail,624
38,January,2022,General Merchandise Stores,General merchandise stores,General Merchandise,60884.0,Retail,936
39,January,2022,Department Stores,Department stores,General Merchandise,8799.0,Retail,936
40,January,2022,Department Stores (Except Discount),Department stores(excl. discount department stores),General Merchandise,1702.0,Retail,936
41,January,2022,Discount Department Stores,Discount dept. stores,General Merchandise,7097.0,Retail,936
42,January,2022,Other General Merchandise Stores,Other general merchandise stores,General Merchandise,52085.0,Retail,936
43,January,2022,Warehouse Clubs & Supercenters,Warehouse clubs and superstores,Food & Beverage,45340.0,Food,780
44,January,2022,All Other General Merchandise Stores,All other gen. merchandise stores,General Merchandise,6745.0,Retail,936
45,January,2022,Miscellaneous Store Retailers,Miscellaneous store retailers,Miscellaneous,12496.0,Retail,468
46,January,2022,"Office Supplies, Stationery & Gift Stores","Office supplies, stationery, and gift stores",Office Supplies & Gifts,1871.0,Retail,468
47,January,2022,Office Supplies & Stationery Stores,Office supplies and stationery stores,Office Supplies & Gifts,824.0,Retail,468
48,January,2022,"Gift, Novelty & Souvenir Stores","Gift, novelty, and souvenir stores",Office Supplies & Gifts,1047.0,Retail,468
49,January,2022,Used Merchandise Stores,Used merchandise stores,Miscellaneous,1649.0,Retail,468
50,January,2022,Nonstore Retailers,Nonstore retailers,Miscellaneous,98618.0,Retail,468
51,January,2022,Electronic Shopping & Mail-Order Houses,Electronic shopping and mail-order houses,Home Goods & Electronics,87596.0,Retail,1560
52,January,2022,Fuel Dealers,Fuel dealers,Fuel & Gasoline,5479.0,Retail,312
53,January,2022,Food Services & Drinking Places,Food services and drinking places,Restaurants & Bars,69815.0,Food,780
54,January,2022,Drinking Places (Alcoholic Beverages),Drinking places,Restaurants & Bars,21850.77,Food,780
55,January,2022,Restaurants & Other Eating Places,Restaurants and other eating places,Restaurants & Bars,62002.0,Food,780
56,January,2022,Full-Service Restaurants,Full service restaurants,Restaurants & Bars,21850.77,Food,780
57,January,2022,Limited-Service & Snack & Beverage Places,Limited service eating places,Restaurants & Bars,31383.0,Food,780
58,February,2022,Motor Vehicle & Parts Dealers,Motor vehicle and parts dealers,Automotive,116991.0,Automotive,936
59,February,2022,Motor Vehicle & Parts Dealers (Combined),Automobile and other motor vehicle dealers,Automotive,108112.0,Automotive,936
60,February,2022,Automobile Dealers,Automobile dealers,Automotive,99008.0,Automotive,936
61,February,2022,New Car Dealers,New car dealers,Automotive,86147.0,Automotive,936
62,February,2022,Used Car Dealers,Used car dealers,Automotive,12861.0,Automotive,936
63,February,2022,"Auto Parts, Accessories & Tire Stores","Automotive parts, acc., and tire stores",Automotive,8879.0,Automotive,936
64,February,2022,Furniture & Electronics Stores (Combined),"Furniture, home furn, electronics, and appliance stores",Home Goods & Electronics,17111.0,Retail,1560
65,February,2022,Furniture & Home Furnishings Stores,Furniture and home furnishings stores,Home Goods & Electronics,10685.0,Retail,1560
66,February,2022,Furniture Stores,Furniture stores,Home Goods & Electronics,5996.0,Retail,1560
67,February,2022,Home Furnishings Stores,Home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
68,February,2022,Floor Covering Stores,Floor covering stores,Home Goods & Electronics,21850.77,Retail,1560
69,February,2022,All Other Home Furnishings Stores,All other home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
70,February,2022,Electronics & Appliance Stores,Electronics and appliance stores,Home Goods & Electronics,6426.0,Retail,1560
71,February,2022,Household Appliance Stores,Household appliance stores,Home Goods & Electronics,1564.0,Retail,1560
72,February,2022,Electronics Stores,Electronics stores,Home Goods & Electronics,4862.0,Retail,1560
73,February,2022,Building Material & Garden Supply Stores,Building mat. and garden equip. and supplies dealers,Home Goods & Building Supplies,33529.0,Retail,624
74,February,2022,Building Material & Supplies Dealers,Building mat. and supplies dealers,Home Goods & Building Supplies,29463.0,Retail,624
75,February,2022,Paint & Wallpaper Stores,Paint and wallpaper stores,Home Goods & Building Supplies,1096.0,Retail,624
76,February,2022,Hardware Stores,Hardware stores,Home Goods & Building Supplies,2631.0,Retail,624
77,February,2022,Food & Beverage Stores,Food and beverage stores,Food & Beverage,69315.0,Food,780
78,February,2022,Grocery Stores,Grocery stores,Food & Beverage,62339.0,Food,780
79,February,2022,Supermarkets & Grocery Stores,Supermarkets and other grocery (except convenience) stores,Food & Beverage,59584.0,Food,780
80,February,2022,"Beer, Wine & Liquor Stores","Beer, wine, and liquor stores",Food & Beverage,5057.0,Food,780
81,February,2022,Health & Personal Care Stores,Health and personal care stores,Health & Personal Care,29947.0,Retail,312
82,February,2022,Pharmacies & Drug Stores,Pharmacies and drug stores,Health & Personal Care,24847.0,Retail,312
83,February,2022,Gasoline Stations,Gasoline stations,Fuel & Gasoline,49575.0,Retail,312
84,February,2022,Clothing & Clothing Accessories Stores,Clothing and clothing access. stores,Fashion & Accessories,20509.0,Retail,1248
85,February,2022,Clothing Stores,Clothing stores,Fashion & Accessories,13204.0,Retail,1248
86,February,2022,Men's Clothing Stores,Men's clothing stores,Fashion & Accessories,21850.77,Retail,1248
87,February,2022,Women's Clothing Stores,Women's clothing stores,Fashion & Accessories,2729.0,Retail,1248
88,February,2022,Family Clothing Stores,Family clothing stores,Fashion & Accessories,7054.0,Retail,1248
89,February,2022,Other Clothing Stores,Other clothing stores,Fashion & Accessories,1245.0,Retail,1248
90,February,2022,Shoe Stores,Shoe stores,Fashion & Accessories,2639.0,Retail,1248
91,February,2022,Jewelry Stores,Jewelry stores,Fashion & Accessories,21850.77,Retail,1248
92,February,2022,"Sporting Goods, Hobby, Book & Music Stores","Sporting goods, hobby, musical instrument, and book stores",Sports & Recreation,7142.0,Retail,624
93,February,2022,Sporting Goods Stores,Sporting goods stores,Sports & Recreation,4201.0,Retail,624
94,February,2022,"Hobby, Toy & Game Stores","Hobby, toy, and game stores",Sports & Recreation,1671.0,Retail,624
95,February,2022,Book Stores,Book stores,Sports & Recreation,550.0,Retail,624
96,February,2022,General Merchandise Stores,General merchandise stores,General Merchandise,56575.0,Retail,936
97,February,2022,Department Stores,Department stores,General Merchandise,8983.0,Retail,936
98,February,2022,Department Stores (Except Discount),Department stores(excl. discount department stores),General Merchandise,2193.0,Retail,936
99,February,2022,Discount Department Stores,Discount dept. stores,General Merchandise,6790.0,Retail,936
100,February,2022,Other General Merchandise Stores,Other general merchandise stores,General Merchandise,47592.0,Retail,936
101,February,2022,Warehouse Clubs & Supercenters,Warehouse clubs and superstores,Food & Beverage,40730.0,Food,780
102,February,2022,All Other General Merchandise Stores,All other gen. merchandise stores,General Merchandise,6862.0,Retail,936
103,February,2022,Miscellaneous Store Retailers,Miscellaneous store retailers,Miscellaneous,12836.0,Retail,468
104,February,2022,"Office Supplies, Stationery & Gift Stores","Office supplies, stationery, and gift stores",Office Supplies & Gifts,1941.0,Retail,468
105,February,2022,Office Supplies & Stationery Stores,Office supplies and stationery stores,Office Supplies & Gifts,755.0,Retail,468
106,February,2022,"Gift, Novelty & Souvenir Stores","Gift, novelty, and souvenir stores",Office Supplies & Gifts,1186.0,Retail,468
107,February,2022,Used Merchandise Stores,Used merchandise stores,Miscellaneous,1712.0,Retail,468
108,February,2022,Nonstore Retailers,Nonstore retailers,Miscellaneous,92870.0,Retail,468
109,February,2022,Electronic Shopping & Mail-Order Houses,Electronic shopping and mail-order houses,Home Goods & Electronics,82090.0,Retail,1560
110,February,2022,Fuel Dealers,Fuel dealers,Fuel & Gasoline,5371.0,Retail,312
111,February,2022,Food Services & Drinking Places,Food services and drinking places,Restaurants & Bars,72739.0,Food,780
112,February,2022,Drinking Places (Alcoholic Beverages),Drinking places,Restaurants & Bars,21850.77,Food,780
113,February,2022,Restaurants & Other Eating Places,Restaurants and other eating places,Restaurants & Bars,63755.0,Food,780
114,February,2022,Full-Service Restaurants,Full service restaurants,Restaurants & Bars,21850.77,Food,780
115,February,2022,Limited-Service & Snack & Beverage Places,Limited service eating places,Restaurants & Bars,31162.0,Food,780
116,March,2022,Motor Vehicle & Parts Dealers,Motor vehicle and parts dealers,Automotive,140108.0,Automotive,936
117,March,2022,Motor Vehicle & Parts Dealers (Combined),Automobile and other motor vehicle dealers,Automotive,129327.0,Automotive,936
118,March,2022,Automobile Dealers,Automobile dealers,Automotive,117183.0,Automotive,936
119,March,2022,New Car Dealers,New car dealers,Automotive,101277.0,Automotive,936
120,March,2022,Used Car Dealers,Used car dealers,Automotive,15906.0,Automotive,936
121,March,2022,"Auto Parts, Accessories & Tire Stores","Automotive parts, acc., and tire stores",Automotive,10781.0,Automotive,936
122,March,2022,Furniture & Electronics Stores (Combined),"Furniture, home furn, electronics, and appliance stores",Home Goods & Electronics,20160.0,Retail,1560
123,March,2022,Furniture & Home Furnishings Stores,Furniture and home furnishings stores,Home Goods & Electronics,12533.0,Retail,1560
124,March,2022,Furniture Stores,Furniture stores,Home Goods & Electronics,6978.0,Retail,1560
125,March,2022,Home Furnishings Stores,Home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
126,March,2022,Floor Covering Stores,Floor covering stores,Home Goods & Electronics,21850.77,Retail,1560
127,March,2022,All Other Home Furnishings Stores,All other home furnishings stores,Home Goods & Electronics,21850.77,Retail,1560
128,March,2022,Electronics & Appliance Stores,Electronics and appliance stores,Home Goods & Electronics,7627.0,Retail,1560
129,March,2022,Household Appliance Stores,Household appliance stores,Home Goods & Electronics,1809.0,Retail,1560
130,March,2022,Electronics Stores,Electronics stores,Home Goods & Electronics,5818.0,Retail,1560
131,March,2022,Building Material & Garden Supply Stores,Building mat. and garden equip. and supplies dealers,Home Goods & Building Supplies,44478.0,Retail,624
132,March,2022,Building Material & Supplies Dealers,Building mat. and supplies dealers,Home Goods & Building Supplies,38803.0,Retail,624
133,March,2022,Paint & Wallpaper Stores,Paint and wallpaper stores,Home Goods & Building Supplies,1424.0,Retail,624
134,March,2022,Hardware Stores,Hardware stores,Home Goods & Building Supplies,3252.0,Retail,624
135,March,2022,Food & Beverage Stores,Food and beverage stores,Food & Beverage,76325.0,Food,780
136,March,2022,Grocery Stores,Grocery stores,Food & Beverage,68614.0,Food,780
137,March,2022,Supermarkets & Grocery Stores,Supermarkets and other grocery (except convenience) stores,Food & Beverage,65494.0,Food,780
138,March,2022,"Beer, Wine & Liquor Stores","Beer, wine, and liquor stores",Food & Beverage,5590.0,Food,780
139,March,2022,Health & Personal Care Stores,Health and personal care stores,Health & Personal Care,33648.0,Retail,312
140,March,2022,Pharmacies & Drug Stores,Pharmacies and drug stores,Health & Personal Care,27579.0,Retail,312
141,March,2022,Gasoline Stations,Gasoline stations,Fuel & Gasoline,64397.0,Retail,312
142,March,2022,Clothing & Clothing Accessories Stores,Clothing and clothing access. stores,Fashion & Accessories,25622.0,Retail,1248
143,March,2022,Clothing Stores,Clothing stores,Fashion & Accessories,17506.0,Retail,1248
