industry,kind_of_business,month,avg_sales,lowest_sales,highest_sales
Automotive,Automobile and other motor vehicle dealers,April,85590.62,57767.0,129053.0
Automotive,Automobile and other motor vehicle dealers,August,91817.46,59027.0,124722.0
Automotive,Automobile and other motor vehicle dealers,December,87227.23,57998.0,112739.0
Automotive,Automobile and other motor vehicle dealers,February,76497.54,46213.0,108112.0
Automotive,Automobile and other motor vehicle dealers,January,72903.69,44566.0,104500.0
Automotive,Automobile and other motor vehicle dealers,July,89749.85,60194.0,119419.0
Automotive,Automobile and other motor vehicle dealers,June,88929.0,57777.0,122624.0
Automotive,Automobile and other motor vehicle dealers,March,90801.92,60806.0,131491.0
Automotive,Automobile and other motor vehicle dealers,May,91391.0,58792.0,128180.0
Automotive,Automobile and other motor vehicle dealers,November,80451.54,52325.0,107017.0
Automotive,Automobile and other motor vehicle dealers,October,84490.46,54589.0,115898.0
Automotive,Automobile and other motor vehicle dealers,September,84054.0,54920.0,114453.0
Automotive,Automobile dealers,April,78610.23,53010.0,117514.0
Automotive,Automobile dealers,August,85288.92,55146.0,113755.0
Automotive,Automobile dealers,December,82748.23,55257.0,105829.0
Automotive,Automobile dealers,February,71840.85,43455.0,99008.0
Automotive,Automobile dealers,January,68962.85,42162.0,96689.0
Automotive,Automobile dealers,July,82751.15,55880.0,109169.0
Automotive,Automobile dealers,June,81222.69,53074.0,111154.0
Automotive,Automobile dealers,March,84148.15,56506.0,120463.0
Automotive,Automobile dealers,May,83750.69,54203.0,116807.0
Automotive,Automobile dealers,November,75997.77,49417.0,100197.0
Automotive,Automobile dealers,October,79245.31,51489.0,106996.0
Automotive,Automobile dealers,September,78459.85,51581.0,104852.0
Automotive,"Automotive parts, acc., and tire stores",April,7781.54,6601.0,10426.0
Automotive,"Automotive parts, acc., and tire stores",August,8386.62,7047.0,11169.0
Automotive,"Automotive parts, acc., and tire stores",December,7508.23,6357.0,10117.0
Automotive,"Automotive parts, acc., and tire stores",February,6948.77,5609.0,8879.0
Automotive,"Automotive parts, acc., and tire stores",January,6901.85,5304.0,9047.0
Automotive,"Automotive parts, acc., and tire stores",July,8152.54,6812.0,10454.0
Automotive,"Automotive parts, acc., and tire stores",June,8208.92,6923.0,10788.0
Automotive,"Automotive parts, acc., and tire stores",March,8096.85,6642.0,10781.0
Automotive,"Automotive parts, acc., and tire stores",May,8063.77,6451.0,10709.0
Automotive,"Automotive parts, acc., and tire stores",November,7730.0,6505.0,10385.0
Automotive,"Automotive parts, acc., and tire stores",October,8213.62,6797.0,10712.0
Automotive,"Automotive parts, acc., and tire stores",September,7881.46,6734.0,10726.0
Automotive,Motor vehicle and parts dealers,April,93372.15,64368.0,138891.0
Automotive,Motor vehicle and parts dealers,August,100204.08,66074.0,135891.0
Automotive,Motor vehicle and parts dealers,December,94735.46,64512.0,122663.0
Automotive,Motor vehicle and parts dealers,February,83446.31,51822.0,116991.0
Automotive,Motor vehicle and parts dealers,January,79805.62,49870.0,113548.0
Automotive,Motor vehicle and parts dealers,July,97902.38,67006.0,129123.0
Automotive,Motor vehicle and parts dealers,June,97137.92,64700.0,132559.0
Automotive,Motor vehicle and parts dealers,March,98898.77,67448.0,141659.0
Automotive,Motor vehicle and parts dealers,May,99454.77,65243.0,137600.0
Automotive,Motor vehicle and parts dealers,November,88181.54,58830.0,117402.0
Automotive,Motor vehicle and parts dealers,October,92704.08,61386.0,126610.0
Automotive,Motor vehicle and parts dealers,September,91935.46,61654.0,125179.0
Automotive,New car dealers,April,69438.31,47053.0,101980.0
Automotive,New car dealers,August,75710.0,48858.0,99049.0
Automotive,New car dealers,December,74748.69,49735.0,95023.0
Automotive,New car dealers,February,62503.08,37155.0,86147.0
Automotive,New car dealers,January,61034.08,37035.0,84442.0
Automotive,New car dealers,July,73476.08,49697.0,95559.0
Automotive,New car dealers,June,71855.08,46879.0,96934.0
Automotive,New car dealers,March,73752.08,49926.0,104050.0
Automotive,New car dealers,May,74439.0,48346.0,102538.0
Automotive,New car dealers,November,67762.46,43813.0,88587.0
Automotive,New car dealers,October,70310.08,45366.0,94219.0
Automotive,New car dealers,September,69631.31,45610.0,91670.0
Automotive,Used car dealers,April,9171.92,5957.0,15534.0
Automotive,Used car dealers,August,9578.92,6288.0,14706.0
Automotive,Used car dealers,December,7999.54,5522.0,12619.0
Automotive,Used car dealers,February,9337.77,6300.0,12861.0
Automotive,Used car dealers,January,7928.77,5127.0,12247.0
Automotive,Used car dealers,July,9275.08,6183.0,13667.0
Automotive,Used car dealers,June,9367.62,6195.0,14220.0
Automotive,Used car dealers,March,10396.08,6580.0,16413.0
Automotive,Used car dealers,May,9311.69,5857.0,14269.0
Automotive,Used car dealers,November,8235.31,5530.0,13013.0
Automotive,Used car dealers,October,8935.23,5710.0,14267.0
Automotive,Used car dealers,September,8828.54,5951.0,14041.0
Fashion & Accessories,Clothing and clothing access. stores,April,19224.69,2761.0,25904.0
Fashion & Accessories,Clothing and clothing access. stores,August,22038.92,17923.0,26376.0
Fashion & Accessories,Clothing and clothing access. stores,December,33734.31,28545.0,40629.0
Fashion & Accessories,Clothing and clothing access. stores,February,17778.08,14816.0,20509.0
Fashion & Accessories,Clothing and clothing access. stores,January,15506.69,13216.0,18113.0
Fashion & Accessories,Clothing and clothing access. stores,July,20459.31,16842.0,25219.0
Fashion & Accessories,Clothing and clothing access. stores,June,19979.77,16138.0,25031.0
Fashion & Accessories,Clothing and clothing access. stores,March,20377.08,10958.0,25622.0
Fashion & Accessories,Clothing and clothing access. stores,May,21008.0,8696.0,26831.0
Fashion & Accessories,Clothing and clothing access. stores,November,23843.46,20003.0,29072.0
Fashion & Accessories,Clothing and clothing access. stores,October,20659.77,17412.0,25120.0
Fashion & Accessories,Clothing and clothing access. stores,September,19461.92,16232.0,23966.0
Fashion & Accessories,Clothing stores,April,14009.92,1783.0,17794.0
Fashion & Accessories,Clothing stores,August,15686.85,12877.0,17813.0
Fashion & Accessories,Clothing stores,December,22836.69,19716.0,26510.0
Fashion & Accessories,Clothing stores,February,12322.08,10488.0,13476.0
Fashion & Accessories,Clothing stores,January,11316.62,9902.0,12368.0
Fashion & Accessories,Clothing stores,July,14925.54,12078.0,17584.0
Fashion & Accessories,Clothing stores,June,14588.54,11057.0,17280.0
Fashion & Accessories,Clothing stores,March,14880.46,7618.0,17506.0
Fashion & Accessories,Clothing stores,May,15045.77,5509.0,18360.0
Fashion & Accessories,Clothing stores,November,17678.77,14933.0,20867.0
Fashion & Accessories,Clothing stores,October,15284.08,13169.0,17886.0
Fashion & Accessories,Clothing stores,September,14224.69,12322.0,16637.0
Fashion & Accessories,Family clothing stores,April,7448.08,664.0,9716.0
Fashion & Accessories,Family clothing stores,August,8789.08,7280.0,10291.0
Fashion & Accessories,Family clothing stores,December,13049.54,11246.0,16137.0
Fashion & Accessories,Family clothing stores,February,6516.62,5593.0,7457.0
Fashion & Accessories,Family clothing stores,January,5926.31,4971.0,6832.0
Fashion & Accessories,Family clothing stores,July,8398.0,6875.0,10241.0
Fashion & Accessories,Family clothing stores,June,8007.23,6334.0,9933.0
Fashion & Accessories,Family clothing stores,March,7967.15,4204.0,9583.0
Fashion & Accessories,Family clothing stores,May,8110.08,3003.0,10174.0
Fashion & Accessories,Family clothing stores,November,10021.85,8336.0,12348.0
Fashion & Accessories,Family clothing stores,October,8493.0,6943.0,10394.0
Fashion & Accessories,Family clothing stores,September,7737.54,6383.0,9421.0
Fashion & Accessories,Jewelry stores,April,5087.35,474.0,21850.77
Fashion & Accessories,Jewelry stores,August,5265.04,1811.0,21850.77
Fashion & Accessories,Jewelry stores,December,8383.73,5087.0,21850.77
Fashion & Accessories,Jewelry stores,February,4034.14,2093.0,21850.77
Fashion & Accessories,Jewelry stores,January,3372.83,1496.0,21850.77
Fashion & Accessories,Jewelry stores,July,5176.2,1816.0,21850.77
Fashion & Accessories,Jewelry stores,June,5220.89,1802.0,21850.77
Fashion & Accessories,Jewelry stores,March,5084.81,1427.0,21850.77
Fashion & Accessories,Jewelry stores,May,5577.35,1436.0,21850.77
Fashion & Accessories,Jewelry stores,November,5606.12,2392.0,21850.77
Fashion & Accessories,Jewelry stores,October,5222.96,1906.0,21850.77
Fashion & Accessories,Jewelry stores,September,5149.89,1684.0,21850.77
Fashion & Accessories,Men's clothing stores,April,2334.83,93.0,21850.77
Fashion & Accessories,Men's clothing stores,August,3914.12,412.0,21850.77
Fashion & Accessories,Men's clothing stores,December,4235.5,664.0,21850.77
Fashion & Accessories,Men's clothing stores,February,2217.6,389.0,21850.77
Fashion & Accessories,Men's clothing stores,January,2200.98,385.0,21850.77
Fashion & Accessories,Men's clothing stores,July,3897.66,441.0,21850.77
Fashion & Accessories,Men's clothing stores,June,3945.96,330.0,21850.77
Fashion & Accessories,Men's clothing stores,March,2292.21,319.0,21850.77
Fashion & Accessories,Men's clothing stores,May,3983.43,170.0,21850.77
Fashion & Accessories,Men's clothing stores,November,5647.79,669.0,21850.77
Fashion & Accessories,Men's clothing stores,October,5618.87,634.0,21850.77
Fashion & Accessories,Men's clothing stores,September,3937.5,438.0,21850.77
Fashion & Accessories,Other clothing stores,April,1172.23,238.0,1506.0
Fashion & Accessories,Other clothing stores,August,1344.62,897.0,1609.0
Fashion & Accessories,Other clothing stores,December,1829.62,1398.0,2271.0
Fashion & Accessories,Other clothing stores,February,1175.08,869.0,1446.0
Fashion & Accessories,Other clothing stores,January,1169.62,945.0,1505.0
Fashion & Accessories,Other clothing stores,July,1271.38,937.0,1604.0
Fashion & Accessories,Other clothing stores,June,1315.08,901.0,1558.0
Fashion & Accessories,Other clothing stores,March,1315.31,766.0,1581.0
Fashion & Accessories,Other clothing stores,May,1232.62,548.0,1481.0
